project,url,sha
MateoRamirezRubio1-mini-blog-rest-api-3f7b52b,https://github.com/MateoRamirezRubio1/mini-blog-rest-api,3f7b52b
MatthewDaws-TileMapBase-398b96a,https://github.com/MatthewDaws/TileMapBase,398b96a
MaxiSim-Tp4_33661_34334_34337_34498-63aa026,https://github.com/MaxiSim/Tp4_33661_34334_34337_34498,63aa026
McIntosh-Lab-plspy-8a0008e,https://github.com/McIntosh-Lab/plspy,8a0008e
Md-Emon-Hasan-AI-From-University-2a54f8c,https://github.com/Md-Emon-Hasan/AI-From-University,2a54f8c
Md-Emon-Hasan-ML-Project-Email-SMS-Spam-Classifier-with-MLOps-ce214d9,https://github.com/Md-Emon-Hasan/ML-Project-Email-SMS-Spam-Classifier-with-MLOps,ce214d9
Megscammell-Estimate-of-direction-in-RSM-3ab2678,https://github.com/Megscammell/Estimate-of-direction-in-RSM,3ab2678
Melevir-flake8-obey-import-goat-96e5959,https://github.com/Melevir/flake8-obey-import-goat,96e5959
MicaelJarniac-BuildURL-6284ff5,https://github.com/MicaelJarniac/BuildURL,6284ff5
MiczFlor-RPi-Jukebox-RFID-74abc37,https://github.com/MiczFlor/RPi-Jukebox-RFID,74abc37
MikeSchapp-BabyScout-5725e4b,https://github.com/MikeSchapp/BabyScout,5725e4b
Minusadd-VBLRL-6aab19c,https://github.com/Minusadd/VBLRL,6aab19c
MoatLab-FEMU-3690338,https://github.com/MoatLab/FEMU,3690338
Moglius-deploy-aws-stuff-c47a79b,https://github.com/Moglius/deploy-aws-stuff,c47a79b
MontiCore-montithings-532622f,https://github.com/MontiCore/montithings,532622f
Morris88826-PROGRAMMING-LLMs-d22a05b,https://github.com/Morris88826/PROGRAMMING-LLMs,d22a05b
Mustangodhra-xmltoxsd-1822a59,https://github.com/Mustangodhra/xmltoxsd,1822a59
Myliu0401-admin.net_web-891c6d3,https://github.com/Myliu0401/admin.net_web,891c6d3
NOAA-ORR-ERD-MapRoom-f085860,https://github.com/NOAA-ORR-ERD/MapRoom,f085860
NREL-EP-Launch-e2e3063,https://github.com/NREL/EP-Launch,e2e3063
NarendraPAutomationEngineer-StackStormTutorials-46007ab,https://github.com/NarendraPAutomationEngineer/StackStormTutorials,46007ab
Nelson-Gon-pycite-c3a0f6e,https://github.com/Nelson-Gon/pycite,c3a0f6e
Newscatcher-newscatcher-sdks-8d6e766,https://github.com/Newscatcher/newscatcher-sdks,8d6e766
NiklasJavier-RCSuite-f331267,https://github.com/NiklasJavier/RCSuite,f331267
NiklasvonM-EnsembleLearning-a07ec86,https://github.com/NiklasvonM/EnsembleLearning,a07ec86
NoDataFound-SW_HAX-757cbd0,https://github.com/NoDataFound/SW_HAX,757cbd0
Noob-Saibot-227410-ferramenta-opensource-seguranca-aws-prowler-cloud-2c138d7,https://github.com/Noob-Saibot-227410/ferramenta-opensource-seguranca-aws-prowler-cloud,2c138d7
NuGet-NuGetGallery-b26757e,https://github.com/NuGet/NuGetGallery,b26757e
OU-CS3560-grading-lib-bce8fd6,https://github.com/OU-CS3560/grading-lib,bce8fd6
OliverDrechsler-fetchmail_bot-89cca5a,https://github.com/OliverDrechsler/fetchmail_bot,89cca5a
